content,post_time,title,url
"今天，商务部发布2018年第一季度《中国购物中心发展指数报告》。,《报告》显示，2018年第一季度中国购物中心综合指数为67.5，环比上升0.3，同比下降0.8，但仍高出荣枯线17.5，呈现出2018年中国购物中心市场继续保持积极向上的发展态势。其中：现状指数为64.4，受租赁活跃度指数的影响，环比下降0.3，但同比上升0.8；整体购物中心市场对未来6个月的预期指数为72.1，环比上升1.2，有85%的业主表示短期内企业的盈利状态会持续变好。,《报告》表明，购物中心宏观市场指数与成本控制指数环比分别上升3.4、3.6，表明业主对整体市场趋好的信心进一步增强，大部分业主对营销或新技术投入的把控力有所提升；一线城市指数为67.6，环比上升4.3，成熟商圈的优质购物中心项目，尤其是定位年轻时尚或一站式家庭消费的商场，是主要发展动力；地区型和社区型物业指数分别为69.4和69.6，环比提升5.3和3.9，同比上升4.5和2.0，交通设施不断完善、居住人口外溢等因素利好了地区型物业，而社区型物业继续受惠于稳定的周边消费人群。,总体而言，2018年购物中心市场迎来良好的开局。伴随着年轻一代消费者的不断成长，购物中心继续呈现更丰富、多元的租户类型和创新模式，整体消费和购物中心市场持续向好的趋势不变。",2018-05-10 10:48:40,商务部发布2018年第一季度中国购物中心发展指数报告,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502741724.shtml
"5月9日，在李克强总理和安倍晋三首相共同见证下，中国商务部,部长与,经济产业大臣世耕弘成共同签署了《关于加强,合作的备忘录》，中国国家发展改革委、商务部与日本外务省、经济产业省共同签署了《关于中日第三方市场合作的备忘录》。,双方同意成立“双边服务贸易合作机制”，积极促进服务领域互利合作。同意加强两国在第三方市场合作，在中日经济高层对话机制下设立跨部门的“推进中日第三方市场合作工作机制”，并与经济团体共同举办“中日第三方市场合作论坛”。,当前，中日经贸合作呈现企稳回升态势。2017年双边贸易重返3000亿美元规模，日本对华投资加快回升，中国对日跨境电商、移动支付、共享经济等新经济模式投资增多，访日中国大陆游客超过730万人次，比上年增长15%。",2018-05-09 17:23:27,中日双方签署有关经贸合作协议,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502741568.shtml
"近日，商务部发布《中国展览业发展统计分析报告〔2017〕》（以下简称《报告》）。《报告》显示，随着国家“,”建设的深入实施，产业结构调整升级和行业自身创新驱动步伐的加快，2017年中国展览业市场规模稳中有升，从高速增长步入高质量发展轨道。,据商务部统计，中国展览业规模继续稳居全球首位。2017年在专业展览场馆举办的各类展览会共5604场，展览总面积10642万平方米，分别较2016年增长1%和12.3%。平均单体展会规模持续扩大，展览面积达10万平方米以上的展会数量占3%，较2016年提升0.3个百分点。2017年全国展馆市场继续保持平稳增势，一部分大型展馆新建或投入使用，室内可供展览面积在5000平方米以上且正在运营使用的展馆共计211家，其中达10万平方米以上的展馆23家。展览企业经营效益持续向好，2017年全国展览会营业收入达872亿元人民币；展览行业利润率总体水平达21.6%，较2016年提升9.7个百分点；成本费用利润率为25.3%，同比提高12.8个百分点。,《报告》指出，2017年中国展览业发展主要呈现以下特点： ,一是展览业行业和区域结构进一步优化。从区域分布看，上海、,、广州继续领跑全国展览业发展，重庆、成都、南京、深圳、杭州、青岛等城市展览业发展优势加快显现。在京津冀、长三角区域发展战略的推进下，,、武汉等城市也迎来新的发展机遇。从行业分布看，展览会数量排名居前的依次是日用消费品及居民服务类，占31.3%；房屋建筑、装饰及经营服务类，占18.4%；工业科技类，占10.5%；文化、体育和娱乐类，占9.7%。,二是市场主体多元化、精细化态势明显。行业资源整合加快，企业经营着力于增加有效供给、提高供给质量、增强品牌竞争力，从单一业务模式转向一站式系统化解决方案供给，更加重视用户体验和个性化需求，质量效益进一步提升。,三是科技创新进一步驱动展览业升级。现代信息技术与会展经济的交汇融合正成为趋势，大数据和智能化应用作为行业创新升级的新动能，有力推动业态模式和管理服务创新。,四是展会服务经济外交大局作用凸显。随着“一带一路”建设的深入实施，企业借助展会开拓新兴市场需求增强。2017年“一带一路”沿线国家参展商数量占总境外参展商的26.4%，较2016年实现较大幅度提升。展览会作为扩大,、推动贸易投资、服务外交大局的平台作用日趋显现。,五是可持续发展理念渐入产业链各环节。在国家的持续推动和行业龙头企业的积极倡导下，“绿色、低碳、可持续”发展理念成为行业共识和产业转型升级的方向。,《报告》认为，中国展览业在快速发展的进程中，也存在发展不平衡、不充分等问题，如办展主体规模总体偏小，一些非理性办展造成资源浪费，展馆产能总体过剩，中高端专业人才缺乏等。下一步，中国展览业将在党的十九大精神引领下，以习近平新时代中国特色社会主义思想为统领，以供给侧结构性改革为主线，坚持质量第一、效能优先，构建新型管理服务体系，夯实行业创新发展基础，以法制化建设优化营商环境，以诚信体系建设促进行业自律，以重点联系企业制度为依托推动市场主体做大做强，引导行业从高速增长向高质量发展。,商务部将继续深入贯彻落实《,》（国发﹝2015﹞15号）和《展览业统计调查制度》（国统制﹝2018﹞44号），加大统计调查监测分析力度，为建立展览业权威数据基础和科学政策体系提供有力支撑。,  ,  附件：,  ",2018-05-10 10:48:54,商务部发布《中国展览业发展统计分析报告〔2017〕》,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502741740.shtml
"据商务部监测，上周（4月30日至5月6日）全国食用,市场价格指数比前一周下降0.6%，,市场价格指数比前一周上涨0.3%。,水产品批发价格整体回落，其中鲢鱼、草鱼、小黄鱼价格降幅居前，比前一周分别下降1.9%、1%和0.4%。30种蔬菜平均批发价格为每公斤4.11元，比前一周下降1.4%，其中青椒、辣椒、菜花价格降幅居前，比前一周分别下降7.4%、7.3%和5.2%。肉类批发价格以降为主，其中猪肉、羊肉价格分别为每公斤17.11元和49.26元，比前一周分别下降1.2%和0.1%；牛肉价格为每公斤52.27元，比前一周上涨0.2%。粮食批发价格小幅下降，其中面粉、大米价格分别下降0.3%和0.2%。禽产品批发价格小幅波动，其中鸡蛋价格为每公斤8.69元，比前一周上涨0.7%；白条鸭价格为每公斤17.28元，与前一周基本持平；白条鸡价格为每公斤15.81元，比前一周下降0.3%。食用油批发价格小幅上涨，其中花生油、大豆油价格均比前一周上涨0.3%，菜籽油价格与前一周基本持平。,钢材价格比前一周上涨1.5%，其中高速线材、螺纹钢、普通圆钢、热轧带钢价格分别为每吨4153元、4058元、4176元和4155元，分别上涨2.2%、2.1%、1.4%和1.3%。橡胶价格总体平稳，其中天然橡胶价格上涨0.1%，合成橡胶价格下降0.1%。,价格与前一周基本持平，其中尿素价格上涨0.2%，三元复合肥、磷酸二铵价格分别下降0.2%和0.1%，氯化钾价格基本稳定。煤炭价格下降0.2%，其中动力煤、无烟煤价格分别为每吨596元和842元，分别下降0.3%和0.1%，炼焦煤价格为每吨747元，上涨0.4%。基础化学原料价格下降0.6%，其中烧碱、硫酸价格分别下降1.8%和1.7%，纯碱、,价格分别上涨2.4%和0.6%。有色金属价格下降0.7%，其中铜、锌、铝价格分别下降1.3%、1.1%和0.2%，镍、铅、锡价格分别上涨0.6%、0.4%和0.1%。,（具体情况，请点击商务部网站“,”栏目）",2018-05-08 14:36:04,上周食用农产品价格继续回落 生产资料价格小幅上涨,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502740892.shtml
"5月4日，商务部,和国际贸易经济合作,联合发布《,》（以下简称《报告》）。报告回顾了2017年及2018年一季度中国外贸运行情况。2017年，中国外贸发展取得显著成绩，进出口增长超出预期，贸易结构进一步优化，质量效益继续提升，动力转换不断加快。2018年一季度，中国外贸保持较快增长，结构继续优化。,报告认为，中国外贸既存在新的发展机遇，也面临困难和挑战。世界经济有望保持复苏势头，国际市场需求总体继续增长，但贸易保护主义加剧威胁全球贸易增长。中国经济稳中有进、稳中向好态势进一步巩固，随着供给侧结构性改革不断深化，中国外贸发展的内生动力不断增强，但也面临成本上升等问题。综合考虑，2018年中国外贸发展稳中向好势头有望进一步巩固。,报告指出，中国经济已由高速增长阶段转向高质量发展阶段，要坚持新发展理念，落实高质量发展要求，深化外贸领域供给侧结构性改革，扎实推进“五个优化”和“三项建设”，积极培育贸易新业态新模式，促进,创新发展，办好首届中国国际进口博览会，促进进出口平衡发展，加快推进贸易强国建设。,附件：",2018-05-07 16:42:47,商务部有关单位发布《中国对外贸易形势报告 （2018年春季）》,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502740472.shtml
"《区域全面经济伙伴关系协定》（RCEP）第22轮谈判于2018年4月28日-5月8日在,举行。在全体会议召开的同时，货物、服务、投资、原产地规则、海关程序与贸易便利化、卫生与植物卫生措施、技术法规与合格评定程序、,、金融、电信、,、,、法律机制、政府采购等领域都并行举行了工作组会议。各方按照2017年11月首次RCEP领导人会议和2018年3月3日部长会议的指示，继续就货物、服务、投资和规则领域议题展开深入磋商，谈判取得积极进展。会议强调各方将按照《RCEP谈判指导原则》，齐心协力，务实突破，推动尽早结束谈判。",2018-05-09 15:04:37,《区域全面经济伙伴关系协定》（RCEP）第22轮谈判在新加坡举行,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502741442.shtml
"　　5月3日上午，商务部召开“做新时代好青年——2018年五四青年节系列教育汇报会”。部党组书记、部长,出席会议并讲话。商务部副部长钱克明出席。,　　钟山指出，广大商务青年要牢记习近平总书记5月2日在,大学考察时对当代青年的殷切寄语，做与新时代共同前进的一代，成为实现中华民族伟大复兴的生力军，肩负起国家和民族的希望。,　　钟山要求广大商务青年立志做新时代好青年。一是提高政治站位。青年干部要深入学习《习近平的七年知青岁月》等光辉著作，进一步增强忠诚核心、拥戴核心、维护核心的思想自觉、政治自觉和行动自觉，善于从政治上分析问题，在大局中找准位置。青年干部生在一个伟大的新时代，从事伟大事业，这就是光荣，应感到自豪。二是强化责任担当。要以高度的责任感和使命感，树立正气，弘扬正气，按照党组确定的目标和任务，切实把责任扛在肩上、抓在手中，敢于担当、善于担当，全力以赴办好首届中国国际进口博览会、推进,全岛建设自由贸易试验区、探索建设中国特色自由贸易港等党中央交办的重要任务。三是增强工作本领。要加强学习，不断提高本领，在学懂弄通做实上狠下功夫，努力出实招、出新招、干实事。,　　钟山强调，商务事业是奋斗的事业，也是青春的事业。新时代商务工作任务艰巨、使命光荣。青年人是商务改革的生力军，是实现提前建成经贸强国奋斗目标的突击队。各单位党组织，特别是一把手要亲自谋划、加强领导，关心青年干部成长成才，发挥好团组织的桥梁和纽带作用，推动我部青年工作再上新台阶。每一位商务青年都应该成为社会主义建设者和接班人，奋力开启新时代商务发展新征程，为实现两个“一百年”奋斗目标和中华民族伟大复兴中国梦贡献青春力量。,　　部青年工作领导小组成员单位、部机关司局、直属事业单位、商协学会负责同志及团员青年代表270余人与会。会上，对2017年以来获得“全国五四红旗团支部”、“中央国家机关共青团员先锋岗（队）”等荣誉的商务部优秀青年集体和个人进行了表彰。",2018-05-03 19:39:19,商务部召开做新时代好青年2018年五四青年节系列教育汇报会,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502739475.shtml
"在李克强总理出席第七次中日韩领导人会议并对,进行正式访问期间，5月9日上午，陪同访问的中国商务部部长,在东京会见日本经济产业大臣世耕弘成。,钟山指出，此次李克强总理来日出席第七次中日韩领导人会议并正式访问日本，是中国总理时隔8年再次访日，对推动两国关系改善和发展具有重要意义，必将有力指导和推动中日经贸关系在新时代取得新发展，为深化中日经贸合作带来重大机遇。,钟山表示，中日是世界第二、第三大经济体，双方经贸联系紧密，互补性强。中日关系稳定发展，符合双方共同利益，也有利于地区稳定、世界繁荣。今年是中日和平友好条约缔结40周年，我们要把握时机，落实好两国领导人共识，加强双方发展战略对接，推进科技创新、高端制造、共享经济、养老医疗等领域务实合作，推动两国经贸关系提质升级。,钟山就深化两国务实合作提出三点建议。,着眼双边，共同落实好此访领导人达成的重要共识。积极推动双方在贸易、投资、,等领域开展广泛深入合作。在今天双方签署《关于加强服务贸易合作的备忘录》和《关于中日第三方市场合作的备忘录》之后，抓紧推进相关合作事项的落实，促进服务领域互利合作，推动双方第三方市场合作早见成效。,立足区域，共同推进中日韩合作和东亚经济一体化。中方愿与日方共同努力尽早达成全面、高水平和互惠的中日韩自贸协定，推动RCEP谈判。中方愿积极办好下一届中日韩经贸部长会议。,放眼全球，共同维护和支持多边贸易体制，推动经济全球化朝着更加开放、包容、普惠、平衡、共赢的方向发展。中方再次邀请和欢迎日方积极参加首届中国国际进口博览会。,世耕弘成表示，日方愿同中方一道，继续推动日中经贸合作向纵深发展，重点在服务领域、第三方市场合作等领域加强合作。日中双方在中日韩自贸协定、RCEP谈判等方面有广泛共识，愿共同推动早日达成。日方愿与中方共同维护和支持多边贸易体制，认同贸易保护主义措施或贸易战对各方均没有好处。日方预祝首届中国国际进口博览会取得圆满成功。目前日本企业反应十分热烈，日方将继续积极组织企业参加，使博览会成为新时代日中经贸合作典范。",2018-05-09 09:56:45,商务部部长钟山与日本经产大臣世耕弘成双边会见,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502741233.shtml
"　　根据中央关于巡视工作的统一部署，2018年2月23日上午，中央第十四巡视组巡视商务部党组工作动员会召开。会前，中央第十四巡视组组长杨鑫主持召开与商务部党组书记、部长,的见面沟通会，传达了习近平总书记关于巡视工作的重要讲话精神。会上，杨鑫就即将开展的巡视工作作了讲话，对配合做好巡视工作提出要求。钟山主持会议并作表态讲话。,　　中央第十四巡视组副组长及有关同志，中央纪委驻商务部纪检组负责同志，商务部党组成员、现职部领导出席会议，近三年退出党组班子的老同志，各直属单位、商协学会党政主要负责人列席会议。,　　杨鑫指出，深入学习贯彻党的十九大精神是当前和今后一个时期的首要政治任务。商务部党组和各级党员领导干部，要牢固树立“四个意识”，坚定“四个自信”，旗帜鲜明坚持以习近平新时代中国特色社会主义思想为指导，用以武装头脑、指导实践、推动工作；旗帜鲜明维护习近平总书记党中央的核心、全党的核心地位，维护党中央权威和集中统一领导；旗帜鲜明坚持和加强党的全面领导，坚持党要管党、全面从严治党，勇于自我革命，坚定不移推动全面从严治党向纵深发展。商务部党组要深刻领会党的十九大关于全面从严治党的战略部署，准确把握全面从严治党形势任务，坚决落实管党治党政治责任，保持战略定力，以永远在路上的韧劲和执着，不断把全面从严治党引向深入。巡视是全面从严治党的重大举措，是党内监督的战略性制度安排，要深刻认识巡视工作重要意义，提高政治站位和政治觉悟，贯彻中央巡视工作五年规划，恪守党性原则，增强自觉接受监督的政治意识，坚决支持配合中央巡视组工作，加强对巡视组的监督，共同完成好党中央交给的巡视任务。,　　杨鑫指出，巡视是党章赋予的重要职责，中央巡视组将牢牢把握政治巡视定位，贯彻巡视工作方针，坚持以习近平新时代中国特色社会主义思想为指导，以“四个意识”为政治标杆，突出问题导向，盯住关键少数，查找政治偏差，聚焦坚持和加强党的全面领导、新时代党的建设总要求、全面从严治党，以党的政治建设为统领，把坚决维护以习近平同志为核心的党中央权威和集中统一领导作为根本政治任务，围绕党的政治建设、思想建设、组织建设、作风建设、纪律建设和夺取反腐败斗争压倒性胜利等方面，深入检查被巡视党组织学习贯彻习近平新时代中国特色社会主义思想情况，贯彻落实党章和党的十九大精神情况，落实意识形态工作责任制情况，选人用人和基层党组织建设情况，执行中央八项规定精神和整治“四风”情况，党规党纪执行情况，领导干部廉洁自律和整治群众身边腐败问题情况，以及十八届中央巡视整改落实等情况。通过开展巡视监督，发现问题、形成震慑，推动改革、促进发展，发挥标本兼治战略作用，为全面从严治党提供有力支撑。,　　钟山表示，十九届中央第一轮巡视把商务部党组列为巡视对象，充分体现了以习近平同志为核心的党中央对商务事业的高度重视，是对商务部党组的关心爱护。商务部党组坚决拥护中央的决定，自觉接受巡视监督，认真配合中央巡视组工作，全力保障巡视顺利进行。要提高认识，深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神，认真学习贯彻习近平总书记关于巡视工作的重要讲话精神，学习贯彻十九届中央第一轮巡视工作动员部署会精神，准确把握党的十九大关于巡视工作的新要求、新部署、新任务，切实把思想和行动统一到习近平总书记重要讲话精神上来，统一到党中央决策部署上来。把接受巡视监督作为增强“四个意识”的推动力，作为全面政治体检的好机会，作为全面从严治党的新起点，推动商务部全体党员干部进一步增强“四个意识”，坚定“四个自信”，更加自觉地维护习近平总书记党中央的核心、全党的核心地位，更加自觉地维护以习近平同志为核心的党中央权威和集中统一领导，更加自觉地以习近平新时代中国特色社会主义思想武装头脑、指导实践、推动工作。要高度重视，把接受巡视监督作为重要政治任务，严肃认真对待，自觉接受巡视监督。部党组和党组同志要旗帜鲜明讲政治、讲党性、讲原则，增强接受监督的思想自觉和行动自觉。各级党组织和党员干部要按照要求，全面准确地汇报工作、反映情况。对于巡视中发现的问题，做到即知即改、立行立改、全面整改。要全力配合，加强协调，精心安排，严守纪律，保障巡视工作顺利开展。要珍惜这次巡视机会，不忘初心，牢记使命，以习近平新时代中国特色社会主义思想为指导，坚决贯彻落实党中央决策部署，推动全面从严治党不断取得新成效，推动商务事业在新时代新征程中走在前列，为决胜全面建成小康社会、夺取新时代中国特色社会主义伟大胜利多做贡献。,　　据悉，中央巡视组将在商务部工作3个月。巡视期间（2月23日-5月22日）分别设专门值班电话：010-82363240；专门邮政信箱：,市邮政61502号信箱。巡视组每天受理电话的时间为：8:00—20:00。根据巡视工作条例规定，中央巡视组主要受理反映商务部党组领导班子及其成员、下一级党组织领导班子主要负责人和重要岗位领导干部问题的来信来电来访，重点是关于违反政治纪律、组织纪律、廉洁纪律、群众纪律、工作纪律和生活纪律等方面的举报和反映。其他不属于巡视受理范围的信访问题，将按规定由商务部和有关部门认真处理。, ",2018-02-24 18:30:57,中央第十四巡视组巡视商务部党组工作动员会召开,http://www.mofcom.gov.cn//article/ae/ai/201802/20180202714550.shtml
"5月8日，商务部副部长兼国际贸易谈判副代表,出席了在,举办的“,发展与多边贸易体制研修班”开班仪式并致辞。这是中方举办的首个多边贸易体制研修活动，来自世贸组织15个发展中成员的国内副部级和司局级官员、驻世贸组织大使和高级外交官共27名代表参加。,王受文介绍了中国40年改革开放，特别是加入世贸组织以来经过艰苦努力、自主开放所取得的成绩。作为发展中国家，中国城乡发展差距依然较大，东西部发展仍不平衡，打赢防范化解重大风险、精准脱贫和污染防治三大攻坚战任务艰巨，发展仍是当代中国的第一要务。,王受文强调电子商务可为世界各地的中小微企业、妇女和青年“全球卖、全球买”提供便利，使其从包容性贸易中受益。希望参会代表可通过实地考察和研讨，分享发展中国家利用后发优势发展电子商务的实例，共同探讨处于不同发展阶段的成员如何提升从电子商务中获益、进而促进发展的能力。,王受文还就中美经贸关系问题及近期有关磋商情况进行了简要介绍，重申与世贸组织成员一道维护多边贸易体制、反对单边主义和保护主义的立场。",2018-05-09 16:33:26,王受文副部长出席“电子商务发展与多边贸易体制研修班”开班仪式并致辞,http://www.mofcom.gov.cn//article/ae/ai/201805/20180502741539.shtml
